***
*
*  Exported on: 18.11.2016
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP NAVAIDS EXPORT
*
* VERSION= 1371698
*
**************************
49,49:01:43N,01:12:51E,136.0M,T,EVREUX FAUVILLE,Navaid|ID:EVX|Frequency:112.4/71X|Range:60 NM |Magnetic declination:-0.35649|Aligned to true north:FALSE
50,43:57:15N,01:49:27E,295.0M,T,GAILLAC-CASTELNAU DE MONTMIRAIL,Navaid|ID:GAI|Frequency:115.8/|Range:100 NM |Magnetic declination:0.17109|Aligned to true north:FALSE
51,48:59:11N,06:42:58E,309.0M,T,GROSTENQUIN,Navaid|ID:GTQ|Frequency:111.25/49Y|Range:60 NM |Magnetic declination:1.33061|Aligned to true north:FALSE
52,48:09:36N,03:36:09W,227.0M,T,GUISCRIFF SCAER,Navaid|ID:GSG|Frequency:395/|Range:25 NM |Magnetic declination:-3|Aligned to true north:FALSE
53,47:33:42N,06:43:56E,399.0M,T,HERICOURT,Navaid|ID:HR|Frequency:289/|Range:30 NM |Magnetic declination:1.37482|Aligned to true north:FALSE
54,43:30:01N,04:56:24E,15.0M,T,ISTRES LE TUBE,Navaid|ID:ITS|Frequency:112.700/74X|Range: NM |Magnetic declination:1|Aligned to true north:FALSE
55,48:47:26N,00:31:49E,290.0M,T,L'AIGLE,Navaid|ID:LGL|Frequency:115.000/|Range: NM |Magnetic declination:-2|Aligned to true north:FALSE
56,46:41:29N,02:08:58E,269.0M,T,LA CHATRE,Navaid|ID:LCA|Frequency:112.1/|Range: NM |Magnetic declination:0.3783|Aligned to true north:FALSE
57,48:43:09N,03:18:28W,71.0M,T,LANNION,Navaid|ID:LN|Frequency:345/|Range:50 NM |Magnetic declination:-3|Aligned to true north:FALSE
58,48:17:01N,04:25:56W,76.0M,T,LANVEOC POULMIC,Navaid|ID:BST|Frequency:428/|Range:50 NM |Magnetic declination:-3|Aligned to true north:FALSE
59,46:41:21N,01:17:11W,93.0M,T,LA ROCHE SUR YON LES AJONCS,Navaid|ID:YN|Frequency:334/|Range: NM |Magnetic declination:-1|Aligned to true north:FALSE
60,45:29:20N,05:26:21E,641.0M,T,LA TOUR DU PIN,Navaid|ID:LTP|Frequency:115.55/|Range: NM |Magnetic declination:1.0302|Aligned to true north:FALSE
61,43:22:58N,06:15:21E,303.0M,T,LE LUC LE CANNET,Navaid|ID:LUC|Frequency:113.0/77X|Range: NM |Magnetic declination:1|Aligned to true north:FALSE
62,43:28:00N,00:01:06W,293.0M,T,LEMBEYE,Navaid|ID:LMB|Frequency:111.8/|Range: NM |Magnetic declination:-1|Aligned to true north:FALSE
